subject,LL,ML,MH,HH
27,3.4073264564725543,1.9731506161369008,-0.16106146207782795,0.14657803432891733
28,-6.704156845030068,-3.8447736117943636,-6.138580520567974,-6.348819409596072
29,1.2499490780196238,2.0374672274341368,-0.6120101946387551,0.7341485186433975
30,3.9095961490869326,-1.2727233200779748,1.2808780737085608,4.783234979417268
31,13.435358183800675,0.4248323093613835,2.193779569176563,8.03432994974775
32,2.0682667585975842,-0.7429603929433279,1.8126387361302987,4.664269017942524
33,4.508306778544478,5.856370854163638,0.7059829197753468,5.125377237788779
34,0.6909880650489507,4.701500709232529,0.0454109853775674,-0.7727966108875177
35,-1.902382680771859,-0.2566049093215616,-0.2819619779567128,0.2868759610860846
36,0.9007918771606651,6.454739769540349,-4.393525323831314,1.254505981391233
37,4.770731286347902,3.1145458701802005,6.50773386671225,2.788142983970945
38,7.5178268241797,10.256790149741082,9.732351777719643,10.106526791770582
