Source,F,ddof1,ddof2,p-unc,p-GG-corr,np2,eps
condition,1.1489718014942802,3,21,0.3525196406447041,0.32741607144973384,0.14099592310327946,0.39806341974671
bin,0.9832953128580403,4,28,0.4326009941019444,0.3831548758571025,0.12316910177108531,0.385591961686999
condition * bin,0.8018770218620441,12,84,0.6474743608889374,0.463541838700026,0.10278001301674751,0.15902377991074992
