,t,p,d,bin1_mean,bin5_mean,p_corrected,reject_h0
Low-Low,-0.2201037269449504,0.8298219099683866,-0.06636377065774893,2.3983084225462177,2.6446858038778607,1.0,False
Mid-Low,0.6084886190075096,0.5552201299167578,0.18346622167722074,1.0780682396669665,0.03471922136431623,1.0,False
Mid-High,-0.35812071031485143,0.7276971058040818,-0.11324771218722864,0.4525767741760063,1.6271174004781381,1.0,False
High-High,0.5967136537967611,0.5627781850059641,0.1799159360841716,1.3930238356638742,0.47649397082257156,1.0,False
